9,OTHER OFFENSE,1279
9,PROSTITUTION,69
9,PUBLIC INDECENCY,1
9,PUBLIC PEACE VIOLATION,106
9,ROBBERY,763
9,SEX OFFENSE,94
9,STALKING,11
9,THEFT,5590
9,WEAPONS VIOLATION,482
10,ARSON,35
10,ASSAULT,1583
10,BATTERY,4075
10,BURGLARY,991
10,CONCEALED CARRY LICENSE VIOLATION,19
10,CRIM SEXUAL ASSAULT,131
10,CRIMINAL DAMAGE,2482
10,CRIMINAL TRESPASS,547
10,DECEPTIVE PRACTICE,1368
10,GAMBLING,13
10,HOMICIDE,53
10,HUMAN TRAFFICKING,1
10,INTERFERENCE WITH PUBLIC OFFICER,102
10,INTIMIDATION,18
10,KIDNAPPING,6
10,LIQUOR LAW VIOLATION,21
10,MOTOR VEHICLE THEFT,758
10,NARCOTICS,925
10,NON-CRIMINAL,4
10,OBSCENITY,7
10,OFFENSE INVOLVING CHILDREN,202
10,OTHER OFFENSE,1323
10,PROSTITUTION,48
10,PUBLIC INDECENCY,1
10,PUBLIC PEACE VIOLATION,99
10,ROBBERY,838
10,SEX OFFENSE,100
10,STALKING,15
10,THEFT,5453
10,WEAPONS VIOLATION,442
11,ARSON,25
11,ASSAULT,1443
11,BATTERY,3461
11,BURGLARY,896
11,CONCEALED CARRY LICENSE VIOLATION,9
11,CRIM SEXUAL ASSAULT,119
11,CRIMINAL DAMAGE,1932
11,CRIMINAL TRESPASS,482
11,DECEPTIVE PRACTICE,1230
11,GAMBLING,6
11,HOMICIDE,45
11,INTERFERENCE WITH PUBLIC OFFICER,88
11,INTIMIDATION,14
11,KIDNAPPING,16
11,LIQUOR LAW VIOLATION,18
11,MOTOR VEHICLE THEFT,786
11,NARCOTICS,1063
11,NON-CRIMINAL,3
11,OBSCENITY,2
11,OFFENSE INVOLVING CHILDREN,160
11,OTHER NARCOTIC VIOLATION,1
11,OTHER OFFENSE,1359
11,PROSTITUTION,85
11,PUBLIC INDECENCY,2
11,PUBLIC PEACE VIOLATION,84
11,ROBBERY,785
11,SEX OFFENSE,60
11,STALKING,14
11,THEFT,4928
11,WEAPONS VIOLATION,401
12,ARSON,25
12,ASSAULT,1282
12,BATTERY,3156
12,BURGLARY,810
12,CONCEALED CARRY LICENSE VIOLATION,10
12,CRIM SEXUAL ASSAULT,99
12,CRIMINAL DAMAGE,1860
12,CRIMINAL TRESPASS,475
12,DECEPTIVE PRACTICE,1037
12,GAMBLING,2
12,HOMICIDE,40
12,HUMAN TRAFFICKING,1
12,INTERFERENCE WITH PUBLIC OFFICER,90
12,INTIMIDATION,13
12,KIDNAPPING,12
12,LIQUOR LAW VIOLATION,5
12,MOTOR VEHICLE THEFT,802
12,NARCOTICS,764
12,NON-CRIMINAL,2
12,OBSCENITY,6
12,OFFENSE INVOLVING CHILDREN,131
12,OTHER OFFENSE,1066
12,PROSTITUTION,43
12,PUBLIC INDECENCY,1
12,PUBLIC PEACE VIOLATION,120
12,ROBBERY,692
12,SEX OFFENSE,60
12,STALKING,17
12,THEFT,4634
12,WEAPONS VIOLATION,367
